Date,Open,High,Low,Close,Volume,Company
2020-01-01,68.89785105685263,69.2820995299623,67.43162859655462,69.40503893546301,28801317,Apple Inc.
2020-01-02,71.8218193419724,72.86847397417166,71.2560530836627,72.25750898124463,43200446,Apple Inc.
2020-01-03,69.24756395952153,69.7221065984214,68.77755652744435,69.3449653151451,7677817,Apple Inc.
2020-01-04,71.74773845547766,72.85788471110075,70.91659212391971,71.55039066535937,29518380,Apple Inc.
2020-01-05,70.42190333624895,70.57394659274836,69.81502732614233,70.56879035035364,47176096,Apple Inc.
2020-01-06,68.95364178108078,69.77289675351794,68.19225780341128,69.19833008054269,23377124,Apple Inc.
2020-01-07,64.88434542372889,65.15620414653968,64.61079033681959,65.17167242694693,49899871,Apple Inc.
2020-01-08,69.05428951600213,69.4940341166316,68.17872074079901,68.79493927263013,3543442,Apple Inc.
2020-01-09,69.26096988794164,69.61561009469499,68.80576710677305,69.59474063081328,4737372,Apple Inc.
2020-01-10,65.6429526459861,65.70869476097083,65.51074292285129,65.68314560615102,42728272,Apple Inc.
2020-01-11,67.64288791310412,67.89013027462444,67.11683973694566,67.45906321330858,42311689,Apple Inc.
2020-01-12,66.28162422431589,67.35178972529796,65.29001590338346,66.32305779720892,4558715,Apple Inc.
2020-01-13,65.03272776089213,65.35162377097193,64.47642280398894,65.13827956633959,14403562,Apple Inc.
2020-01-14,66.39801258288892,66.47768556112017,65.59164968589458,66.41629143269392,44782016,Apple Inc.
2020-01-15,67.40498843045113,67.60759995243515,67.02678885114432,66.98436641191938,31790834,Apple Inc.
2020-01-16,66.91897128614629,67.15400380724479,65.05151466844718,67.2056120981517,29609924,Apple Inc.
2020-01-17,67.55186884693265,67.78966778357389,66.79982475096108,67.63689239714759,42216209,Apple Inc.
2020-01-18,65.76330038919382,66.00826828558331,64.70728230282269,65.42066224647402,8689454,Apple Inc.
2020-01-19,72.42110474545944,72.87798929460496,72.00845291804319,71.88878222549457,14938408,Apple Inc.
2020-01-20,69.73680358275973,70.42916100670665,68.93624188722325,69.55696402722127,34620730,Apple Inc.
2020-01-21,65.59788667490933,66.47768856188435,65.26724236300285,66.0130562320826,15390189,Apple Inc.
2020-01-22,69.2594647136801,70.88101568691467,69.16682151811821,69.07195583630016,41466972,Apple Inc.
2020-01-23,72.74711670941346,72.7641203268209,71.78843954390923,73.1104151869781,18871526,Apple Inc.
2020-01-24,68.875084837412,69.29299180582308,68.59664115671251,68.89149311087542,9187208,Apple Inc.
2020-01-25,63.802405754759306,64.0452065357235,63.28915848357855,63.88523665328973,49909570,Apple Inc.
2020-01-26,68.79784590827164,69.22263786299334,67.94487548573703,69.23663986984361,2965944,Apple Inc.
2020-01-27,66.00155687952467,66.31429481002463,65.3064307720496,65.72017692424451,25414027,Apple Inc.
2020-01-28,61.61556193629068,61.99879694624026,61.051430829631435,61.9573647944283,33323902,Apple Inc.
2020-01-29,64.32035126583848,64.61940310253149,63.94306147492303,64.30032144013362,30508482,Apple Inc.
2020-01-30,72.45527735511057,72.52150706677402,71.7818662665319,72.28665884248475,36446970,Apple Inc.
2020-01-31,67.97706095650996,68.36906366017982,66.95900585164044,67.75096598528262,42087665,Apple Inc.
2020-02-01,65.79819536850708,66.20324947938046,64.70132109431849,66.1186215507419,38325867,Apple Inc.
2020-02-02,64.23109224028427,65.46405873066824,63.9272728331092,64.15565551939216,6910018,Apple Inc.
2020-02-03,68.23277068499299,68.2851582752974,67.5983035157593,68.3522835031843,16914172,Apple Inc.
2020-02-04,66.5510718484502,68.56347030951422,66.54692349387433,66.45489743169344,8278608,Apple Inc.
2020-02-05,66.55576840942405,67.0737552347996,65.4624815764824,66.821733523385,35253879,Apple Inc.
2020-02-06,69.50788901267877,70.1555921739311,68.473539659915,70.46956190476672,41996509,Apple Inc.
2020-02-07,64.22163373191128,64.46997574222765,64.06006748426903,64.0408362667268,31969606,Apple Inc.
2020-02-08,66.61207684642747,67.49340816764307,65.68312073664559,66.64206083480549,34981800,Apple Inc.
2020-02-09,65.64480287465533,65.97903911397005,65.27434276805877,65.53196578207097,48232900,Apple Inc.
2020-02-10,71.79370045471546,72.23969327963184,70.75878839777016,71.85916820281018,29974659,Apple Inc.
2020-02-11,69.54893700825023,69.66037540870866,69.23578398975724,69.17847948055112,30666582,Apple Inc.
2020-02-12,66.02017256634133,67.2232593477097,65.88645225427052,66.18475157256557,10138470,Apple Inc.
2020-02-13,66.71430954675071,67.97114854250253,66.47019736501692,67.26901314333172,37657702,Apple Inc.
2020-02-14,68.51669062281138,68.56219446270985,67.45930237038216,68.69711892109775,6003212,Apple Inc.
2020-02-15,68.86096902842755,68.86502324962629,68.6138760174147,67.90235822703464,37641393,Apple Inc.
2020-02-16,63.098905255808624,63.615520732317094,62.44783167383905,62.87709039338275,18936472,Apple Inc.
2020-02-17,64.05772932409558,64.62815580347505,62.89678686893009,64.30277776969226,32175598,Apple Inc.
2020-02-18,62.0660332246368,62.5803469397818,61.31793081951036,62.336444092175725,14833849,Apple Inc.
2020-02-19,64.66559056204677,65.69074357129693,64.33152665419695,64.9550066018423,14451733,Apple Inc.
2020-02-20,61.878573358592256,62.038363490925846,61.4264769112629,61.516271124467906,46390478,Apple Inc.
2020-02-21,69.0339920580289,69.51925531927508,68.85416750670092,68.99635152439932,43320373,Apple Inc.
2020-02-22,65.12994007923182,65.68611651526614,64.40193782510033,65.37166548998444,19779722,Apple Inc.
2020-02-23,68.65476231263743,68.73254133306995,68.51668411614762,68.44369439138568,1490141,Apple Inc.
2020-02-24,68.05783839711555,69.73729922997914,67.35772776100423,67.64281721621764,18324849,Apple Inc.
2020-02-25,68.6478346036823,69.37003614477472,67.84220299598171,69.16078372446005,39783871,Apple Inc.
2020-02-26,67.79284204659562,68.05314894611149,67.55776033924258,67.47229334153535,2987924,Apple Inc.
2020-02-27,63.398264366555274,63.870368564501966,62.99317245028644,63.189897208369416,2141640,Apple Inc.
2020-02-28,68.22857668194494,68.27199472890574,68.07790130713126,68.47560844431597,5215329,Apple Inc.
2020-02-29,72.59111854044805,73.06285409831723,72.38159637287987,72.97284507309278,7650375,Apple Inc.
2020-03-01,67.91294990333793,68.07404874580388,67.36191862337998,68.1621192415577,16454397,Apple Inc.
2020-03-02,70.89623958576692,71.49302579659158,70.05322167734164,71.3629906458885,44722445,Apple Inc.
2020-03-03,75.41245217818758,76.01090753529265,73.94038593358137,74.74092272978476,25797664,Apple Inc.
